date,close
2015-12-09,7.566
2015-12-10,7.539
2015-12-11,7.489
2015-12-14,7.655
2015-12-15,7.678
2015-12-16,7.74
2015-12-17,7.964
2015-12-18,7.912
2015-12-21,8.023
2015-12-22,8.094
2015-12-23,7.988
2015-12-24,7.99
2015-12-25,8.025
2015-12-28,7.832
2015-12-29,7.915
2015-12-30,7.976
2015-12-31,7.838
2016-01-04,7.192
2016-01-05,7.122
2016-01-06,7.272
2016-01-07,6.622
2016-01-08,6.753
2016-01-11,6.319
2016-01-12,6.309
2016-01-13,6.113
2016-01-14,6.318
2016-01-15,6.075
2016-01-18,6.162
2016-01-19,6.359
2016-01-20,6.307
2016-01-21,6.09
2016-01-22,6.17
2016-01-25,6.216
2016-01-26,5.833
2016-01-27,5.69
2016-01-28,5.452
2016-01-29,5.643
2016-02-01,5.58
2016-02-02,5.777
2016-02-03,5.807
2016-02-04,5.904
2016-02-05,5.863
2016-02-15,5.872
2016-02-16,6.114
2016-02-17,6.174
2016-02-18,6.144
2016-02-19,6.168
2016-02-22,6.304
2016-02-23,6.273
2016-02-24,6.303
2016-02-25,5.789
2016-02-26,5.841
2016-02-29,5.48
2016-03-01,5.642
2016-03-02,5.95
2016-03-03,5.945
2016-03-04,5.769
2016-03-07,5.932
2016-03-08,5.968
2016-03-09,5.802
2016-03-10,5.698
2016-03-11,5.697
2016-03-14,5.914
2016-03-15,5.834
2016-03-16,5.77
2016-03-17,5.959
2016-03-18,6.196
2016-03-21,6.323
2016-03-22,6.293
2016-03-23,6.353
2016-03-24,6.226
2016-03-25,6.305
2016-03-28,6.252
2016-03-29,6.144
2016-03-30,6.439
2016-03-31,6.388
2016-04-01,6.367
2016-04-05,6.514
2016-04-06,6.554
2016-04-07,6.474
2016-04-08,6.415
2016-04-11,6.53
2016-04-12,6.499
2016-04-13,6.602
2016-04-14,6.646
2016-04-15,6.637
2016-04-18,6.523
2016-04-19,6.535
2016-04-20,6.247
2016-04-21,6.197
2016-04-22,6.234
2016-04-25,6.203
2016-04-26,6.284
2016-04-27,6.252
2016-04-28,6.201
2016-04-29,6.21
2016-05-03,6.409
2016-05-04,6.409
2016-05-05,6.454
2016-05-06,6.2
2016-05-09,5.974
2016-05-10,5.955
2016-05-11,5.944
2016-05-12,5.946
2016-05-13,5.926
2016-05-16,6.033
2016-05-17,6.024
2016-05-18,5.858
2016-05-19,5.887
2016-05-20,5.966
2016-05-23,6.031
2016-05-24,5.975
2016-05-25,5.939
2016-05-26,5.968
2016-05-27,5.973
2016-05-30,5.946
2016-05-31,6.208
2016-06-01,6.21
2016-06-02,6.261
2016-06-03,6.299
2016-06-06,6.314
2016-06-07,6.308
2016-06-08,6.29
2016-06-13,5.987
2016-06-14,6.014
2016-06-15,6.207
2016-06-16,6.183
2016-06-17,6.231
2016-06-20,6.239
2016-06-21,6.165
2016-06-22,6.282
2016-06-23,6.247
2016-06-24,6.156
2016-06-27,6.333
2016-06-28,6.392
2016-06-29,6.393
2016-06-30,6.397
2016-07-01,6.388
2016-07-04,6.515
2016-07-05,6.548
2016-07-06,6.587
2016-07-07,6.613
2016-07-08,6.587
2016-07-11,6.604
2016-07-12,6.687
2016-07-13,6.734
2016-07-14,6.757
2016-07-15,6.741
2016-07-18,6.714
2016-07-19,6.712
2016-07-20,6.701
2016-07-21,6.733
2016-07-22,6.69
2016-07-25,6.7
2016-07-26,6.795
2016-07-27,6.495
2016-07-28,6.526
2016-07-29,6.48
2016-08-01,6.383
2016-08-02,6.445
2016-08-03,6.467
2016-08-04,6.506
2016-08-05,6.485
2016-08-08,6.575
2016-08-09,6.641
2016-08-10,6.608
2016-08-11,6.499
2016-08-12,6.591
2016-08-15,6.728
2016-08-16,6.759
2016-08-17,6.775
2016-08-18,6.777
2016-08-19,6.778
2016-08-22,6.703
2016-08-23,6.719
2016-08-24,6.723
2016-08-25,6.678
2016-08-26,6.711
2016-08-29,6.723
2016-08-30,6.719
2016-08-31,6.73
2016-09-01,6.667
2016-09-02,6.635
2016-09-05,6.682
2016-09-06,6.802
2016-09-07,6.786
2016-09-08,6.824
2016-09-09,6.758
2016-09-12,6.573
2016-09-13,6.602
2016-09-14,6.56
2016-09-19,6.64
2016-09-20,6.627
2016-09-21,6.646
2016-09-22,6.682
2016-09-23,6.671
2016-09-26,6.543
2016-09-27,6.58
2016-09-28,6.572
2016-09-29,6.607
2016-09-30,6.634
2016-10-10,6.761
2016-10-11,6.782
2016-10-12,6.777
2016-10-13,6.785
2016-10-14,6.772
2016-10-17,6.72
2016-10-18,6.82
2016-10-19,6.79
2016-10-20,6.794
2016-10-21,6.784
2016-10-24,6.837
2016-10-25,6.862
2016-10-26,6.833
2016-10-27,6.82
2016-10-28,6.768
2016-10-31,6.744
2016-11-01,6.815
2016-11-02,6.747
2016-11-03,6.78
2016-11-04,6.759
2016-11-07,6.764
2016-11-08,6.809
2016-11-09,6.746
2016-11-10,6.846
2016-11-11,6.9
2016-11-14,6.914
2016-11-15,6.939
2016-11-16,6.946
2016-11-17,6.947
2016-11-18,6.915
2016-11-21,6.914
2016-11-22,6.976
2016-11-23,6.933
2016-11-24,6.92
2016-11-25,6.954
2016-11-28,6.973
2016-11-29,6.933
2016-11-30,6.891
2016-12-01,6.931
2016-12-02,6.821
2016-12-05,6.776
2016-12-06,6.785
2016-12-07,6.866
2016-12-08,6.832
2016-12-09,6.814
2016-12-12,6.539
2016-12-13,6.558
2016-12-14,6.518
2016-12-15,6.559
2016-12-16,6.601
2016-12-19,6.606
2016-12-20,6.578
2016-12-21,6.632
2016-12-22,6.621
2016-12-23,6.574
2016-12-26,6.577
2016-12-27,6.589
2016-12-28,6.559
2016-12-29,6.555
2016-12-30,6.553
2017-01-03,6.61
2017-01-04,6.691
2017-01-05,6.688
2017-01-06,6.657
2017-01-09,6.708
2017-01-10,6.683
2017-01-11,6.63
2017-01-12,6.549
2017-01-13,6.477
2017-01-16,6.293
2017-01-17,6.348
2017-01-18,6.352
2017-01-19,6.33
2017-01-20,6.411
2017-01-23,6.473
2017-01-24,6.445
2017-01-25,6.47
2017-01-26,6.514
2017-02-03,6.493
2017-02-06,6.549
2017-02-07,6.539
2017-02-08,6.583
2017-02-09,6.615
2017-02-10,6.629
2017-02-13,6.655
2017-02-14,6.66
2017-02-15,6.598
2017-02-16,6.641
2017-02-17,6.595
2017-02-20,6.681
2017-02-21,6.733
2017-02-22,6.764
2017-02-23,6.774
2017-02-24,6.776
2017-02-27,6.72
2017-02-28,6.743
2017-03-01,6.765
2017-03-02,6.733
2017-03-03,6.747
2017-03-06,6.811
2017-03-07,6.829
2017-03-08,6.804
2017-03-09,6.723
2017-03-10,6.744
2017-03-13,6.817
2017-03-14,6.785
2017-03-15,6.779
2017-03-16,6.84
2017-03-17,6.772
2017-03-20,6.794
2017-03-21,6.823
2017-03-22,6.798
2017-03-23,6.812
2017-03-24,6.855
2017-03-27,6.814
2017-03-28,6.799
2017-03-29,6.776
2017-03-30,6.674
2017-03-31,6.687
2017-04-05,6.859
2017-04-06,6.857
2017-04-07,6.869
2017-04-10,6.862
2017-04-11,6.939
2017-04-12,6.885
2017-04-13,6.925
2017-04-14,6.833
2017-04-17,6.756
2017-04-18,6.725
2017-04-19,6.646
2017-04-20,6.643
2017-04-21,6.602
2017-04-24,6.424
2017-04-25,6.444
2017-04-26,6.456
2017-04-27,6.479
2017-04-28,6.501
2017-05-02,6.494
2017-05-03,6.489
2017-05-04,6.458
2017-05-05,6.384
2017-05-08,6.266
2017-05-09,6.29
2017-05-10,6.172
2017-05-11,6.154
2017-05-12,6.137
2017-05-15,6.168
2017-05-16,6.297
2017-05-17,6.314
2017-05-18,6.255
2017-05-19,6.253
2017-05-22,6.161
2017-05-23,6.05
2017-05-24,6.076
2017-05-25,6.122
2017-05-26,6.127
2017-05-31,6.093
2017-06-01,5.984
2017-06-02,6.051
2017-06-05,6.087
2017-06-06,6.115
2017-06-07,6.248
2017-06-08,6.245
2017-06-09,6.267
2017-06-12,6.19
2017-06-13,6.278
2017-06-14,6.257
2017-06-15,6.313
2017-06-16,6.309
2017-06-19,6.355
2017-06-20,6.374
2017-06-21,6.385
2017-06-22,6.294
2017-06-23,6.313
2017-06-26,6.428
2017-06-27,6.411
2017-06-28,6.391
2017-06-29,6.429
2017-06-30,6.449
2017-07-03,6.492
2017-07-04,6.465
2017-07-05,6.505
2017-07-06,6.505
2017-07-07,6.546
2017-07-10,6.524
2017-07-11,6.452
2017-07-12,6.443
2017-07-13,6.45
2017-07-14,6.433
2017-07-17,6.181
2017-07-18,6.237
2017-07-19,6.377
2017-07-20,6.407
2017-07-21,6.43
2017-07-24,6.48
2017-07-25,6.478
2017-07-26,6.466
2017-07-27,6.507
2017-07-28,6.543
2017-07-31,6.633
2017-08-01,6.615
2017-08-02,6.585
2017-08-03,6.588
2017-08-04,6.55
2017-08-07,6.643
2017-08-08,6.636
2017-08-09,6.68
2017-08-10,6.625
2017-08-11,6.501
2017-08-14,6.633
2017-08-15,6.637
2017-08-16,6.645
2017-08-17,6.711
2017-08-18,6.682
2017-08-21,6.747
2017-08-22,6.72
2017-08-23,6.668
2017-08-24,6.619
2017-08-25,6.689
2017-08-28,6.765
2017-08-29,6.742
2017-08-30,6.789
2017-08-31,6.812
2017-09-01,6.882
2017-09-04,6.91
2017-09-05,6.915
2017-09-06,6.953
2017-09-07,6.902
2017-09-08,6.924
2017-09-11,7.008
2017-09-12,6.992
2017-09-13,7.039
2017-09-14,7.024
2017-09-15,6.97
2017-09-18,7.036
2017-09-19,6.976
2017-09-20,7.048
2017-09-21,6.966
2017-09-22,6.914
2017-09-25,6.83
2017-09-26,6.86
2017-09-27,6.922
2017-09-28,6.924
2017-09-29,6.966
2017-10-09,7.039
2017-10-10,7.062
2017-10-11,7.023
2017-10-12,7.01
2017-10-13,7.065
2017-10-16,6.963
2017-10-17,6.952
2017-10-18,6.917
2017-10-19,6.847
2017-10-20,6.916
2017-10-23,6.963
2017-10-24,6.956
2017-10-25,6.995
2017-10-26,7.007
2017-10-27,6.992
2017-10-30,6.849
2017-10-31,6.899
2017-11-01,6.882
2017-11-02,6.814
2017-11-03,6.754
2017-11-06,6.848
2017-11-07,6.888
2017-11-08,6.901
2017-11-09,6.958
2017-11-10,6.98
2017-11-13,7.011
2017-11-14,6.96
2017-11-15,6.875
2017-11-16,6.893
2017-11-17,6.71
2017-11-20,6.761
2017-11-21,6.789
2017-11-22,6.76
2017-11-23,6.592
2017-11-24,6.605
2017-11-27,6.517
2017-11-28,6.62
2017-11-29,6.641
2017-11-30,6.596
2017-12-01,6.641
2017-12-04,6.603
2017-12-05,6.459
2017-12-06,6.488
2017-12-07,6.449
2017-12-08,6.52
2017-12-11,6.616
2017-12-12,6.559
2017-12-13,6.616
2017-12-14,6.631
2017-12-15,6.578
2017-12-18,6.528
2017-12-19,6.579
2017-12-20,6.529
2017-12-21,6.566
2017-12-22,6.566
2017-12-25,6.506
2017-12-26,6.549
2017-12-27,6.489
2017-12-28,6.523
2017-12-29,6.589
2018-01-02,6.677
2018-01-03,6.72
2018-01-04,6.746
2018-01-05,6.758
2018-01-08,6.789
2018-01-09,6.783
2018-01-10,6.749
2018-01-11,6.765
2018-01-12,6.731
2018-01-15,6.587
2018-01-16,6.622
2018-01-17,6.584
2018-01-18,6.609
2018-01-19,6.59
2018-01-22,6.674
2018-01-23,6.683
2018-01-24,6.734
2018-01-25,6.724
2018-01-26,6.73
2018-01-29,6.643
2018-01-30,6.642
2018-01-31,6.501
2018-02-01,6.306
2018-02-02,6.303
2018-02-05,6.292
2018-02-06,6.007
2018-02-07,6.014
2018-02-08,6.067
2018-02-09,5.836
2018-02-12,5.994
2018-02-13,6.031
2018-02-14,6.051
2018-02-22,6.177
2018-02-23,6.186
2018-02-26,6.353
2018-02-27,6.324
2018-02-28,6.326
2018-03-01,6.413
2018-03-02,6.382
2018-03-05,6.374
2018-03-06,6.46
2018-03-07,6.399
2018-03-08,6.457
2018-03-09,6.544
2018-03-12,6.615
2018-03-13,6.584
2018-03-14,6.5
2018-03-15,6.488
2018-03-16,6.452
2018-03-19,6.477
2018-03-20,6.48
2018-03-21,6.427
2018-03-22,6.426
2018-03-23,6.092
2018-03-26,6.214
2018-03-27,6.355
2018-03-28,6.283
2018-03-29,6.349
2018-03-30,6.433
2018-04-02,6.424
2018-04-03,6.373
2018-04-04,6.321
2018-04-09,6.331
2018-04-10,6.38
2018-04-11,6.391
2018-04-12,6.357
2018-04-13,6.336
2018-04-16,6.317
2018-04-17,6.204
2018-04-18,6.272
2018-04-19,6.302
2018-04-20,6.191
2018-04-23,6.124
2018-04-24,6.254
2018-04-25,6.26
2018-04-26,6.148
2018-04-27,6.175
2018-05-02,6.159
2018-05-03,6.219
2018-05-04,6.215
2018-05-07,6.335
2018-05-08,6.365
2018-05-09,6.34
2018-05-10,6.366
2018-05-11,6.316
2018-05-14,6.286
2018-05-15,6.346
2018-05-16,6.33
2018-05-17,6.29
